School/Institute,Location,Start date,End date,Application deadline,Topic(s),Link(s)
North Carolina A&T State University,"Greensboro, NC",May 23,July 30,March 19,Science and Analytics,For interest email: candy@ncat.edu
North Carolina State University,"Raleigh, NC",May 24,August 1,February 15,"Proposed projects span applications in applications including disease modeling (COVID-19), physiology, imaging, and extreme weather events; using tools from linear algebra, partial differential equations, probability, sensitivity analysis, parameter inference, optimization, and machine learning.","https://math.sciences.ncsu.edu/undergraduate/reu-at-nc-state/
https://math.sciences.ncsu.edu/undergraduate/drums/
https://www.mathprograms.org/db/programs/1054"
NSA Summer program,Varies,Varies,Varies,October 15,Varies,https://www.intelligencecareers.gov/icstudents.html
Occidental College,"Los Angeles, CA",June 7,July 30,February 26,"Data science, number theory, numerical analysis, and positional game theory","http://jim-brown.oxycreates.org/REU/Oxy_REU.html
https://www.mathprograms.org/db/programs/1050"
Ohio State University,"Columbus, OH",June 1,July 31,Februray 28,The projects will be in the areas of topological and geometric data analysis; probability; combinatorics; dynamics; applied math; algebraic geometry; operator algebras; computational math; combinatorics; and model theory.,https://www.mathprograms.org/db/programs/1073
Oregon State,"Corvallis, OR",June 21,August 13,February 24,Probability and stochastic processes; Rational functions in mathematical physics; Secure computation in cryptography; Partitions and modular forms,"http://math.oregonstate.edu/~math_reu/
https://www.mathprograms.org/db/programs/1024"
PolyMath Jr,(Online),June 21,August 15,April 1,Multiple topics from many areas in mathematics,"https://geometrynyc.wixsite.com/polymathreu
https://www.mathprograms.org/db/programs/1016"
Pomona College (PRIME),"Claremont, CA",June 13,August 7,February 15,Algebraic Geometry & Number Theory,https://research.pomona.edu/prime
Portland State University,"Portland, OR",June 14,August 20,March 7,Computational modeling; urban,https://www.teuscher-lab.com/reucomputing/
Rochester Institute of Technology (RIT),"Rochester, NY",June 7,July 30,March 1,Extremal Graph Theory and Dynamical Systems,https://people.rit.edu/~dansma/index_files/NSFREU.htm
Rose-Hulman Insitute of Technology,"Terre Haute, IN",June 7,July 30,February 20,Can data analytics help the poor?; Spatial graph embeddings; Discrete logarithms,"https://www.rose-hulman.edu/mathREU/
https://www.mathprograms.org/db/programs/1030"
Rutgers DIMACS,"Piscataway, NJ",May 24,July 23,January 31,"Minimum circuit size problem; Machine learning for SAT-solving heuristics; Matrix and tensor algebra; Algorithms for reconstructing tensor-structured data; Deterministic graph coloring in the streaming model; Counting spanning trees via vertex-degrees; Generalizations of financial stock options; Fair and strategy-proof tournament design; Social encounter patterns in human mobility; Data stories; Deep learning for quality prediction in metal additive manufacturing; The curse of many; Projects in pure math; Relationships between combinatorial knot invariants; Problems in dynamical systems; Genome folding and function; Deep genomic analysis of tumor specimens; Genomic data guided mathematical modeling of cancer; Data-driven precision medicine approaches to cancer; Informing Decision Makers with Evidence Based Policy Decisions to Stop the Virus, Save Lives and Prepare for the Next Pandemic; Statistical inference on infection processes over graphs; Graph Cities; Mathematical Adventures in One-Dimensional Physics; Learn to program a high-speed Internet router",http://reu.dimacs.rutgers.edu/
South Dakota State University,"Rapid City, SD",May 31,August 6,February 26,research focused on security printing and anti-counterfeiting technology,http://spact-center.org/REU
SUNY Potsdam / Clarkson University,"Potsdam, NY",May 31,July 23,March 30,Links in embedded graphs; Numerical solutions to high dimensional stochastic differential equations,"https://www.potsdam.edu/academics/AAS/depts/math/summer-reu-program
https://www.mathprograms.org/db/programs/1111"
Texas A&M,"College Station, TX",June 7,July 30,February 27,"Algorithmic Algebraic Geometry, Number Theory, and Probability and algebra","https://www.math.tamu.edu/undergraduate/research/REU/
https://www.mathprograms.org/db/programs/1085"
Texas State,"San Marcos, TX",June 14,August 6,February 28,"commutative algebra arising from graphs and matroids, algebraic and combinatorial aspects of higher dimensional tilings, combinatorial problems arising from group theory, arithmetical properties of group invariants, linear and permutational representations of groups, statistical analysis on biological data, and survival analysis",https://www.math.txstate.edu/research-conferences/summerreu.html
Texas Tech,"Lubbock, TX
(virtual)",June 7,July 30,April 1,"Mathematical, Statistical and Computational Methods for Problems in the Life Sciences","http://www.math.ttu.edu/undergraduate/reu2021/
https://www.mathprograms.org/db/programs/1105"
Tufts University,"Medford, MA
(virtual)",June 7,August 13,April 11,Computational aspects of geometric group theory; Numerical analysis; Applied and numerical harmonic analysis; Algorithms in limited data tomography,"verseim-reu@tufts.edu
https://www.mathprograms.org/db/programs/1106
https://sites.tufts.edu/verseimreu/"
UC Davis,"Davis, CA",June 21,August 13,February 19,,"https://reu.math.ucdavis.edu/
https://www.mathprograms.org/db/programs/1052"
UC Santa Barbara,"Santa Barbara, CA",June 21,August 13,February 12,The nonlinear eigenvalue problem solved by linearization; Analysis in almost Abelian spaces,"http://web.math.ucsb.edu/REU/
https://www.mathprograms.org/db/programs/1027"
UCLA,"Los Angeles, CA
(online)",June 14,August 6,February 15,"projects in machine learning, social justice, data science for sociology, and other areas","https://www.math.ucla.edu/~bertozzi/WORKFORCE/REU2021Topics.html
https://www.mathprograms.org/db/programs/1067"
University of Chicago,"Chicago, IL",June 21,August 13,February 12,"The program is focused on exposing participants to a broad swathe of advanced mathematics through informal faculty taught courses. Typical topics each year include geometry, topology, number theory, probability, analysis, and logic.","http://math.uchicago.edu/~may/REU2021/
https://www.mathprograms.org/db/programs/1047"
University of Connecticut,"Storrs, CT",May 24,July 30,February 27,"Fractals, Mathematical Finance, Stochastics, Differential Geometry",https://mathreu.uconn.edu/
University of Connecticut,"Storrs, CT",June 7,July 30,March 15,Markov chains,"https://markov-chains-reu.math.uconn.edu/
https://www.mathprograms.org/db/programs/1053"
University of Houston,(online),June 14,July 30,March 14,"Formation, dynamics, and control of spiral waves in oscillatory media using tools from dynamical systems and partial differential equations",https://www.math.uh.edu/~gabriela/REU.html
University of Maryland,"College Park, MD",June 7,August 12,March 1,Simulation of low-depth quantum circuits; Fast routing using teleportation primitives; Diversity in matching markets; Using generative adversarial networks in domain adaptation; understanding bias and fairness in neural networks through visualizations; learning fair representations; lattice-based cyrptography; Adversarial machine learning,http://www.cs.umd.edu/projects/reucaar/index.html
University of Michigan,"Ann Arbor, MI",> May 1,< August 3,February 3,varies based on faculty interests,https://lsa.umich.edu/math/undergraduates/research-and-career-opportunities/research/research-experience-for-undergraduates--reu-.html
University of Michigan,"Ann Arbor, MI",June 7,July 30,"January 15
March 1",Big Data Summer Institute in Biostatistics,http://www.bigdatasummerinstitute.com/
University of Michigan Dearborn,"Dearborn, MI",May 24,July 16,February 21,Spectral theory and CR Geometry; Error-correcting codes coming from toric varieties; Linear fractional transformations,"https://sites.google.com/a/umich.edu/math-reu/
https://www.mathprograms.org/db/programs/1026"
University of Minnesota - Duluth,"Duluth, MN",May 30,July 9,February 19,"combinatorics, number theory, graph theory","https://www.d.umn.edu/~jgallian/REU.html
https://www.mathprograms.org/db/programs/1062"
University of Minnesota - Twin Cities,"Minneapolis, MN",June 14,August 6,February 17,Algebraic combinatorics,"http://www-users.math.umn.edu/~reiner/REU/REU.html
https://www.mathprograms.org/db/programs/1049"
University of Tennessee Chattanooga,"Chattanooga, TN",June 7,August 1,March 8,Multiplicative number theory; Probability and mathematical statistics; Dynamical systems and numerical analysis; Differential and difference equations; Functional analysis and operator theory,"https://www.mathprograms.org/db/programs/1029
https://www.utc.edu/faculty/andrew-ledoan/reu_2021.php"
University of Texas at Tyler,"Tyler, TX",,,,,https://www.uttyler.edu/math/reu.php
University of Virginia,"Charlotesville, VA",June,July,February 15,"Number Theory, Representation Theory, and Topology","https://uva.theopenscholar.com/reu/program
https://www.mathprograms.org/db/programs/1020"
Ursinus College,"Collegeville, PA",,,March 15,Representation of Lie algebras project and the Amplification of hidden periodic 3D motions,https://www.ursinus.edu/academics/mathematics-and-computer-science/research-experience-for-undergraduates-reu/
UW La Crosse,"La Crosse, WI",June 1,August 7,,"Application of spatially discrete, integral projection models (IPMs) to fish species in the Upper Mississippi River System; Application of Topological Data Analysis to Upper Mississippi River Data; ",https://www.uwlax.edu/mathematics/activities/reu/
Uzbekistan (IRES),Uzbekistan,,,May 15,,http://www.fullerton.edu/ires-uz/ires/
Virginia Commonwealth University,online,June 1,July 23,March 1,"Graph theory, Mathematical biology, Game theory, Data analysis",https://math.vcu.edu/reu/
William and Mary,"Williamsburg, VA",,,,matrix analysis,https://www.wm.edu/as/mathematics/undergraduate_research/summer_reu/index.php
Williams College (SMALL),"Williamstown, MA",June 15,August 15,February 3,Chip firing games; Connections through Diophantine equations; Number theory and probability,"https://math.williams.edu/small/
https://www.mathprograms.org/db/programs/1014
https://www.mathprograms.org/db/programs/1015
https://www.mathprograms.org/db/programs/1016
https://www.mathprograms.org/db/programs/1017"
Worcester Polytechnic Institute (WPI),"Worcester, MA",June 7,August 6,February 19,Research problems in industry,"http://labs.wpi.edu/cims/initiatives/reu/
https://www.mathprograms.org/db/programs/1021"
Yale University (SUMRY),(virtual),June 1,July 30,February 15,"Spinors and graph theory, Cambrian lattice on plabic graphs, Cylinder configurations on flat surfaces, Hypergraph containers, Diffusion geometry and topology, Problems in homogeneous dynamics","https://www.mathprograms.org/db/programs/1080
https://sumry.yale.edu/"
