School/Institute,Location,Start date,End date,Application deadline,Topic(s) / Notes,Link,Date added to this list
Indiana University,"Bloomington, IN",Jun 5,Jul 28,Feb 28,"Pre-workshop for a few students will run online (May 9 - Jun 2)
Extinction probabilities and longtime behaviors of stochastic reaction networks; The topography of quantum states in polygons; Conformal Transfomations on R^{p,q} and Clifford Valued Functions; Natural Logic; Spectra of graphs; Expansivity of fractals; Pattern formation and dynamic transitions of the 1D Cahn-Hilliard equation; Nonconvex optimization and asynchronous coalition in 3-player games","https://math.indiana.edu/undergraduate/reu-summer-research-program/index.html
https://www.mathprograms.org/db/programs/1447",2023/1/28
Texas State University,"San Marcos, TX",Jun 12,Aug 4,Feb 28,"Algebra, Combinatorics, and Statistics",https://www.math.txstate.edu/research-conferences/summerreu.html,2022/10/31
Towson University,"Towson, MD",Jun 5,Jul 28,Feb 28,Mathematical biology and differential equations; Graph thery and model theory; Probability and neual networks,"https://tigerweb.towson.edu/ccornwell/REU/
https://www.mathprograms.org/db/programs/1397",2022/12/25
"University of Washington, Institute for Nuclear Theory","Seattle, WA",,,Feb 28,Physics based REU; some projects might involve computational physics,"https://www.int.washington.edu/REU
https://academicjobsonline.org/ajo/jobs/24065",2023/1/12
"University of North Caroloina, Greensboro","Greensboro, NC",May 22,Jul 28,Feb 28,Complex Data Analysis using Statistical and Machine Learning Tools,https://mathstats.uncg.edu/statistics-reu/reu-2023/,2023/1/22
Moravian University,"Bethlehem, PA",May 30,Jul 28,Mar 1,"Research Challenges of Computational Methods in Discrete Mathematics
Network Reliability Parameters; ???","https://www.moravian.edu/mathematics/reu
https://www.mathprograms.org/db/programs/1412",2022/10/31
Embry-Riddle Aeronautical University,"Dayton Beach, FL",May 15,Jul 15,Mar 1,Data-Enabled Industrial Mathematics,http://reudeim.com/,2022/11/3
Emory University,"Atlanta, GA",May 22,Jul 22,Mar 1,"Combining Models with Data (""Data Science for Social Justice"")
Note online for first-half with smaller time commitment","http://www.math.emory.edu/site/cmds-reuret/
https://www.mathprograms.org/db/programs/1407",2022/11/9
Lafayette College,"Easton, PA",Jun 5,Jul 28,Mar 1,"Agent Based Models, Soliton Theory, and Orderings of Point Sets","https://math.lafayette.edu/opportunities/reu/
https://www.mathprograms.org/db/programs/1387",2022/12/13
Louisiana State University,"Baton Rouge, LA",May 22,Jul 29,Mar 1,Interdisciplinary Research Experience in Computational Sciences,https://reu.cct.lsu.edu/,2023/1/30
Michigan State University (SURIEM),"East Lansing, MI",May 14,Jul 8,Mar 1,Recursive Polynomials; Robotic Swarning,https://lbc.msu.edu/about/suriem.html,2023/1/7
Oklahoma State University,"Stillwater, OK",May 22,Jul 28,Mar 1,Big data analytics,http://cs.okstate.edu/reu/about.html,2022/12/22
Penn State,"State College, PA",May 30,Aug 4,Mar 1,Materials Research Center for Nanoscale Science,https://sites.psu.edu/physicsreu/,2022/11/13
Princeton University,"Princeton, NJ",Jul 2,Jul 22,Mar 1,Princeton Summer School in Geometry and Topology; three week intensive program with eight courses in various topics in geometry and topology,"https://www.math.princeton.edu/SummerProgram
https://www.mathprograms.org/db/programs/1395",2022/12/25
Rochester Insitute of Technology (RIT),"Rochester, NY",Jun 5,Jul 28,Mar 1,"Zero forcing in Graphs; Combined Therapy Model: Phage, Immune System and Antibiotics; Graphs with Orthogonal Matrices; Heart Arrythmias; Graph Ramsey and Folkman Numbers","https://people.rit.edu/~dansma/index_files/NSFREU.htm
https://www.nsfetap.org/award/19/opportunity/786",2023/1/12
Tufts University (VERSEIM),"Medford, MA",Jun 1,Aug 11,Mar 1,Algebraic Curves; Finite Frames and Phase Retrieval; Math Modeling; Limited Data Tomography,"https://sites.tufts.edu/verseimreu/
https://www.mathprograms.org/db/programs/1406",2022/12/22
University of Georgia,"Athens, GA",May 23,Jul 28,Mar 1,Computational Biology. Projects include: bioimaging; mathematical models of evolution and experimental evolution in yeast; Bettering BEST for fitting coalescents to Covid-19 genomes to find virulence genes; Network motifs; Covid-19 and GPUs and solving ODEs related to the Biological clock; ...,https://www.genetics.uga.edu/fungal-genomics-and-computational-biology,2023/1/10
"University of Maryland, Baltimore County","Baltimore, MD",Jun 5,Jul 28,Mar 1,Big data,https://bigdatareu.umbc.edu/,2022/10/31
University of Puerto Rico,"San Juan, PR",Jun 6,Aug 4,Mar 1,Interdisciplinary and Quantitative Biology Research; Computational biology; Bioinformatics,"http://iqbioreu.uprrp.edu/
https://www.nsfetap.org/award/590/opportunity/605",2022/12/22
University of Tennessee Chattanooga,"Chattanooga, TN",May 23,Jul 29,Mar 1,Interdisciplinary Computational Biology: Systems biology of aging and deep learning of biological big data; Mathematical and computational modeling for infectious diseases; A topological model for protein folding; Rare versus common plant species; ... ,https://www.utc.edu/engineering-and-computer-science/academic-programs/computer-science-and-engineering/undergraduate-programs/icompbio-reu,2022/12/1
University of Texas at Austin,"Austin, TX",Jun 5,Aug 4,Mar 1,"Cyberinfrastructure Research 4 Social Change; High Performance Computing (HPC), visualization, and data intensive computing",https://www.tacc.utexas.edu/education/undergrads-grads/reu,2023/1/10
University of Texas Rio Grande Valley,"Edinburg, TX",May 15,Jul 13,Mar 1,Wave phenomena and mathematical modeling; Mathematical modeling of spatial processes and deep spatial learning,https://www.utrgv.edu/smss-nsf-reu/,2023/1/17
Worcester Polytechnic Institute,"Worcester, MA",May 30,Aug 6,Mar 1,Data Science,https://www.wpi.edu/academics/departments/data-science/reu-program,2022/10/31
Youngstown University (BUMP),"Youngstown, OH",May 22,Jun 30,Mar 1,Program aimed at students early in their mathematics education; projects include Exploratory Visualization via R Interactive Graphics; The Mathematics Behind and Applications of Google’s PageRank; Getting your hands dirty in the abstract world of mathematics,https://ysu.edu/ysu-bump,2022/12/1
University of Michigan (Big Data Summer Institute),"Ann Arbor, MI",Jun 19,Jul 28,"Jan 15
Feb 15
Mar 1","Big data, statistics, and human health
**Applications reviewed on rolling basis until filled","http://www.bigdatasummerinstitute.com/
Contact: tarakaz@umich.edu",2022/10/31
Rice University,"Houston, TX",May 22,Jul 28,"Feb 15 (priority)
Mar 1",Data science,https://csweb.rice.edu/academics/undergraduate-programs/opportunities/reu-data-science,2022/12/1
Montona State University,"Bozeman, MT",May 29,Aug 4,Mar 2,Research Experiences in Cybersecurity Algorithms,http://www.bobcatsoftwarefactory.com/nsf-reu-2022,2022/12/5
Clark Atlanta University,"Atlanta, GA",Jun 5,Aug 4,Mar 3,Application of Data Science to Chemistry,https://datascience.aucenter.edu/reu/,2023/1/10
New Mexico State University,"Las Cruces, NM",May 22,Jul 29,Mar 3,Big data analytics; data science; machine learning,"https://www.cs.nmsu.edu/reu/
https://www.nsfetap.org/award/666/opportunity/678",2022/12/22
San Diego State University,"San Diego, CA",Jun 11,Aug 5,Mar 3,Nonunique Factorization,http://www.sci.sdsu.edu/math-reu/,2022/12/13
New Mexico Institute of Mining and Technology,"Socorro, NM",May 22,Jul 29,Mar 6,Emerging Issues in Cybersecurity,https://www.cs.nmt.edu/research/reu-intro/,2023/1/10
Harvey Mudd College,"Claremont, CA",,,Mar 7,Optimizing Deep Learning Capabilities for Low-Power Devices; User-Friendly Tuning of Unsupervised Models of Text; The Role of Bias in Machine Learning; Attention and Feature Representation in Spatiotemporal Networks; Formal Methods for Quantitative Program Analysis,"https://www.cs.hmc.edu/reu/
https://www.nsfetap.org/award/269/opportunity/929",2023/1/19
University of Maryland,"College Park, MD",Jun 5,Aug 11,Mar 7,"Combinatorics, Algorithms, and AI for Real Problems (CAAR)",http://www.cs.umd.edu/projects/reucaar/index.html,2022/10/31
Autonomy Technology Research Center (ATRC) Summer Program,"Dayton, OH","May 2 or 
May 9","Aug 5 or 
Aug 12","Rolling
Jan 15 -- 
mid March","Multi-source Fusion, Machine Learning / Deep Learning, High Performance Computing, Synthetic Aperture Radar: Multi-static  Radar, 3D Reconstruction, Laser Vibrometry , Narrow Band Imaging, Image Registration, Overcomplete Dictionaries, Manifold learning, Compressive Sensing, Neural Networks, Radar Feature Analysis, Wide Angle Signature Analysis, Radar Target Detection, Sparse and Low Rank Regularization, Advanced SAR Image Formation, Synthetic Aperture Ladar, Target Tracking, Pattern of Life Analysis, Graph Theory, Covariance Estimation

US citizenship required, travel costs and housing provided, pay dependent on experience level","https://www.wright.edu/autonomy-technology-research-center
https://jobs.wright.edu/postings/16446",2022/11/29
Florida Institute of Technology,"Melbourne, FL",May 15,Jul 8,Mar 10,Statistical Models with Applications to Geoscience,https://research.fit.edu/smag-reu/,2022/12/1
NASA Internship program,Varies,Varies,Varies,Mar 10,Opportunities for some international students (depending on country of origin),http://intern.nasa.gov/,2022/10/31
North Carolina State University,"Raliegh, NC",Jun 11,Jul 21,Mar 10,Summer Institute in Biostatistics (SIBS),https://statistics.sciences.ncsu.edu/undergraduate/academic-and-research-opportunities/sibs/,2022/11/9
University of Notre Dame,"Notre Dame, IN",Jun 12,Jun 16,Mar 10,Undergraduate summer school in rationality and hyperbolicity,"https://www.mathprograms.org/db/programs/1437
https://sites.nd.edu/cmnd2022-p-adicl-functionseigenvarieties/",2023/1/19
ASU / Scottsdale Community College,"Tempe, AZ",May 15,Jul 21,Mar 12,"weather and climate forecasting and environmental fluid dynamics; the mathematics of imaging; mathematical models of biological processes, including brain tumors, cellular transport, and cell networks; stochastic processes and mathematical finance; and the dynamics of networks","https://math.asu.edu/AM2REU
https://www.nsfetap.org/award/55/opportunity/624",2022/12/13
Texas Tech University,"Lubbock, TX",Jun 5,Jul 28,Mar 12,Statistical Modeling of Variation in Structural and Chemical Characteristics of Protein Binding Sites; Food Webs Subject to Stoichiometric Constraints; Operator Learning for Inverse PDE Problems,"https://www.math.ttu.edu/undergraduate/reu2023/
https://www.nsfetap.org/award/827/opportunity/925",2023/2/2
Carnegie Mellon University,"Pittsburgh, PA",,,Mar 14,Summer School in Logic and Formal Epistemology,https://www.cmu.edu/dietrich/philosophy/undergraduate/summer-school/,2023/1/19
Northwestern University,"Evanston, IL",Jun 20,Jun 30,Mar 15,Summer school in dynamical systems,"https://www.mathprograms.org/db/programs/1451
https://sites.northwestern.edu/dynamicsrtg/summer-school-2023/",2023/1/31
Fairmont State,"Fairmont, WV",Jun 5,Jul 28,Mar 15,"Discrete and Continuous Analysis in Appalachia
special functions, biomathematics, control theory, and probability&statistics",http://tomcuchta.com/DCAA/,2022/10/31
Florida International Univeresity,"Miami, FL",Jun 1,Jul 29,Mar 15,Applied mathematics,https://case.fiu.edu/mathstat/opportunities/amrpu/index.html,2022/10/31
Georgia State University,"Atlanta, GA",May 28,Jul 22,Mar 15,Developing Smart and Autonomous Internet-of-Things Systems,https://ashwinashok.github.io/iotreuatgsu/,2023/1/10
Illinois Institute of Technology,"Chicago, IL",May 22,Jul 28,Mar 15,Speedier Simulations， From the Formation of Snowflakes to Crystal Growth， and Learning and Modeling Collective Behaviors,https://www.iit.edu/computing/research/student-research/SURE,2023/2/17
North Carolina A&T State University,"Greensboro, NC",May 22,Jul 28,Mar 15,Data Science and Analytics,https://ncat.az1.qualtrics.com/jfe/form/SV_7897lADIfWGXsPA,2022/1/14
Salisbury University,"Salisbury, MD",May 31,Aug 8,Mar 15,EXERCISE - Explore Emerging Computing in Science and Engineering; high performance computing; parallel computing; topological data analysis,http://faculty.salisbury.edu/~ealu/REU/REU.html,2022/12/22
UCLA,"Los Angeles, CA",Jun 26,Aug 4,Mar 15,"Knot theory
""REU is designed to be local in nature, so the students must be living in the greater Los Angeles region and be able to commute to UCLA campus""",https://www.mathprograms.org/db/programs/1454,2023/2/15
UNC Charlotte,"Charlotte, NC",May 22,Jul 28,Mar 15,Numerical solution to a coefficient inverse problem for parabolic equations; Applied math; Statistics; Dynamical systems; Number theory,https://pages.charlotte.edu/mathresearch/,2023/1/17
University of Central Florida,"Orlando, FL",May 19,Aug 7,Mar 15,Computer Vision and Artificial Intelligence,https://www.nsfetap.org/award/730/opportunity/770,2023/1/10
University of Texas Medical Branch,"Galveston, TX",Jun 12,Jul 28,Mar 15,UTMB Summer Institute in Biostatistics and Data Science,https://www.utmb.edu/spph/department/of-biostatistics-data-science/sibds,2023/2/4
Ursinus College,"Collegeville, PA",May 30,Jul 21,Mar 15,Invasive species control using mathematical models; Estimating eagle distribution; Movitaved proofs of integer partition identities; p-adic valuation trees,"https://www.ursinus.edu/academics/mathematics-and-computer-science/research-experience-for-undergraduates-reu/
https://www.mathprograms.org/db/programs/1415",2022/10/31
Auburn University,"Auburn, AL",May 20,Jul 23,Mar 20,Algebra and Discrete Mathematics,https://cws.auburn.edu/apspi/pm/mathreu,2023/2/4
University of Kansas,"Lawrence, KS",Jun 5,Jul 15,Mar 24,Cryptography Boot Camp,https://www.mathprograms.org/db/programs/1462,2023/3/5
UC Irvine,"Irvine, CA",Jul 10,Aug 18,Mar 24,Irvine Summer Institute in Biostatistics and Undergraduate Data Science,https://www.stat.uci.edu/isi-buds/,2023/2/4
Southern Methodist University,"Dallas, TX",Jun 18,Jun 30,Mar 27,Modeling transport processes in micro- and nanoscale systems,https://www.smu.edu/Provost/ProvostOffice/SAES/AcademicEnrichment/Engaged-Learning/Research/REU,2023/3/22
Southern Methodist University,"Dallas, TX",Jul 5,Jul 15,Mar 27,Complex Systems,https://www.smu.edu/Provost/ProvostOffice/SAES/AcademicEnrichment/Engaged-Learning/Research/REU,2023/3/22
University of Guam,Guam,May 30,Jul 22,Mar 31,Game theory for modeling disease prevention and insect invasion; Coding theory with magic tricks; Graph theory for investigating graph powers,"https://www.uog.edu/calendar/index.php?eID=3976
Application: https://docs.google.com/forms/d/e/1FAIpQLSccX2xIA2i47XOcUfWQDOjn6omndwe4WU0nJElvb5e722YHqQ/viewform",2023/3/13
"SPIRAL and SPATIAL-Stats
Georgetown University","Washington, DC",Jun 4,Jul 22,Mar 31,​SPIRAL and SPATIAL-Stats are research experiences for undergraduates (REU) aimed at providing a mentoring structure that promotes active learning and engagement in problems in statistics and mathematics. Undergraduate students in the SPIRAL and SPATIAL-Stats will learn how to conduct scientific research.,https://www.spatialreu.org/,2023/1/30
"Jet Propulsion Laboratory
California Institute of Technology (CalTech)","Pasadena, CA",,,Mar 31,"The JPL Summer Internship Program offers 10-week, full-time, summer internship opportunities at JPL to undergraduate and graduate students pursuing degrees in science, technology, engineering or mathematics",https://www.jpl.nasa.gov/edu/intern/apply/summer-internship-program/,2022/10/31
University of Utah,"Salt Lake City, UT",Jul 24,Jul 28,Apr 1,"Mathematical Biology, Graduate School Preview in Mathematical Biology","http://www.math.utah.edu/~lawley/summer
https://www.mathprograms.org/db/programs/1450",2023/1/31
Polymath Jr,Virtual,Varies,Varies,Apr 1,Multiple different projects in a variety of settings. Some are open to international participants.,"https://geometrynyc.wixsite.com/polymathreu
https://www.mathprograms.org/db/programs/1352",2022/10/31
Florida Atlantic University,"Boca Raton, FL",May 22,Jun 30,Apr 3,Florida's summer institute in biostatistics and data science (SIBDS),https://www.fau.edu/research-admin/cores/biostatistics-core/fl-summer-institute-biostatistics-data-science-program-2023/,2023/1/12
University of Illinois - Urbana-Champaign,"Urbana, IL",May 30,Aug 4,Rolling,Computer science research,https://cs.illinois.edu/research/undergraduate-research/SRP,2022/11/9
Lawrence Technological University,"Southfield, MI",May 24,Jul 18,Rolling,"Developing, Analyzing, and Evaluating Self-drive Algorithms Using Real Street Legal Electric Vehicles on Campus; AI; Machine learning",https://www.ltu.edu/arts_sciences/mathematics_computer_science/nsf.asp,2022/12/22
Portland State University,,,,,"Computational modeling
(Will run if funded)",https://www.teuscher-lab.com/reucomputing/,2023/1/12
Colorado School of Public Health,"Aurora, CO",Jun 26,Aug 4,Rolling,Colorado Summer Institute in Biostatistics (CoSIBS),https://coloradosph.cuanschutz.edu/education/departments/biostatistics-informatics/cosibs,2023/2/4
Univeristy of Iowa,"Iowa City, IA",Jun 5,Jul 21,Rolling,Iowa Summer Institute in Biostatistics,https://www.public-health.uiowa.edu/isib/,2023/2/4
